text,note
Сохранить все изменения,добавлено слово
Удалить папку «{name}»?,заменён термин
Пароль должен содержать не менее 12 символов,изменено число
Попробуйте бесплатно 14 дней. Карта не нужна.,изменено число
Резервные копии создаются каждое воскресенье в 03:00 по времени сервера.,изменено время
Изменения вступают в силу после перезапуска службы.,заменена концовка
Не удалось подключиться к базе данных,заменена концовка
Настоящие Правила регулируют использование Платформы.,заменены термины
Настройки поиска,переставлены слова
Сохранение изменений,номинализация
"Пожалуйста, очистите кэш и повторите попытку",короткий сегмент внутри длинного
По вашему запросу результатов нет,синонимия без общих слов
Максимальный размер вложения — 50 МБ.,похожего сегмента нет
