id,type,en,ru_ref,ru_mt
s001,интерфейс,Save changes,Сохранить изменения,Сохранить изменения
s002,интерфейс,"Delete file ""{name}""?",Удалить файл «{name}»?,"Удалить файл ""(имя}""?"
s003,интерфейс,Sign in with your work account,Войдите с рабочей учётной записью,Подпишитесь на вашем рабочем счете
s004,интерфейс,Your session has expired,Срок действия сеанса истёк,Ваш сеанс закончился.
s005,интерфейс,Loading…,Загрузка…,Загрузка...
s006,интерфейс,Add to favorites,Добавить в избранное,Добавить в любимые
s007,интерфейс,Search settings,Поиск по настройкам,Настройка поиска
s008,интерфейс,Choose a payment method,Выберите способ оплаты,Выбрать метод платежа
s009,интерфейс,Password must be at least 8 characters,Пароль должен содержать не менее 8 символов,Пароль должен иметь не менее 8 знаков
s010,интерфейс,Unable to connect to the server,Не удалось подключиться к серверу,Невозможно подключиться к серверу
s011,интерфейс,Copy link,Копировать ссылку,Копировать ссылку
s012,интерфейс,{count} items selected,Выбрано элементов: {count},Выбранные позиции {подсчитать}
s013,интерфейс,Cancel,Отмена,Отмена
s014,интерфейс,Try again,Повторить,Попробуй еще раз.
s015,интерфейс,Enable two-factor authentication,Включить двухфакторную аутентификацию,Включить двухфакторную аутентификацию
s016,интерфейс,This action cannot be undone,Это действие нельзя отменить,Это действие не может быть отменено
s017,интерфейс,Upload a profile photo,Загрузите фото профиля,Загрузить фото профиля
s018,интерфейс,Show advanced options,Показать дополнительные параметры,Показать усовершенствованные параметры
s019,интерфейс,Sync in progress,Идёт синхронизация,Ведется работа по обобщению
s020,интерфейс,Storage almost full,Хранилище почти заполнено,Хранение почти полностью
s021,интерфейс,Rename folder,Переименовать папку,Переименовать папку
s022,интерфейс,Sort by date modified,Сортировать по дате изменения,Сортировка в разбивке по датам
s023,интерфейс,Invite a teammate,Пригласить участника,Пригласите товарища по команде.
s024,интерфейс,Notifications are turned off,Уведомления отключены,Уведомления отменяются
s025,интерфейс,Export to CSV,Экспорт в CSV,Экспорт в CSV
s026,интерфейс,Restore from backup,Восстановить из резервной копии,Возвращение из резервного копирования
s027,интерфейс,Check your email to confirm,Проверьте почту для подтверждения,"Проверьте почту, чтобы подтвердить"
s028,интерфейс,Session will end in {minutes} min,Сеанс завершится через {minutes} мин,Сессия закончится в {минуты} мин.
s029,интерфейс,Clear cache,Очистить кэш,Очистить кэш
s030,интерфейс,Switch to dark theme,Переключиться на тёмную тему,Перейти к темной теме
s031,интерфейс,No results found,Ничего не найдено,Результаты отсутствуют
s032,интерфейс,Drag files here to upload,Перетащите файлы сюда для загрузки,"Перетащите файлы здесь, чтобы загрузить"
s033,интерфейс,Grant camera access,Разрешить доступ к камере,Доступ к фотоаппаратам
s034,интерфейс,Your changes were saved,Изменения сохранены,Твои изменения были сохранены.
s035,интерфейс,Remove from cart,Удалить из корзины,Удалить из тележки
s036,интерфейс,Continue without saving,Продолжить без сохранения,Продолжать без сбережений
s037,интерфейс,Set a recovery phone number,Укажите резервный номер телефона,Установите номер телефона для восстановления
s038,интерфейс,Connection restored,Соединение восстановлено,Восстановление связи
s039,интерфейс,Skip this step,Пропустить этот шаг,Пропустите этот шаг.
s040,интерфейс,Report a problem,Сообщить о проблеме,Сообщите о проблеме
s041,документация,This guide describes how to configure the service for the first time.,В этом руководстве описана первоначальная настройка службы.,"В этом руководстве описывается, как настроить службу в первый раз."
s042,документация,"Before you begin, make sure that you have administrator rights.","Прежде чем начать, убедитесь, что у вас есть права администратора.","Прежде чем начать, убедитесь, что у вас есть права администратора."
s043,документация,The parameter defines the maximum number of simultaneous connections.,Параметр задаёт максимальное число одновременных подключений.,Этот параметр определяет максимальное число одновременных соединений.
s044,документация,"If the value is not specified, the default value is used.","Если значение не указано, используется значение по умолчанию.","Если значение не указано, то используется значение по умолчанию."
s045,документация,Run the command from the directory that contains the configuration file.,"Выполните команду из каталога, содержащего файл конфигурации.","Запустить команду из каталога, в котором содержится файл конфигурации."
s046,документация,The service restarts automatically after the settings are applied.,После применения настроек служба перезапускается автоматически.,Служба возобновляется автоматически после приведения в действие настройки.
s047,документация,Log files are stored for 30 days and then deleted automatically.,"Файлы журналов хранятся 30 дней, после чего удаляются автоматически.","Файлы журнала хранятся в течение 30 дней, а затем удаляются автоматически."
s048,документация,Use this method only when the standard procedure has failed.,"Используйте этот способ только в том случае, если стандартная процедура не сработала.","Используйте этот метод только в том случае, если стандартная процедура не сработала."
s049,документация,The table below lists all supported input formats.,В таблице ниже перечислены все поддерживаемые форматы входных данных.,В таблице ниже перечислены все поддерживаемые форматы ввода данных.
s050,документация,An access token is valid for one hour from the moment it is issued.,Токен доступа действителен в течение часа с момента выдачи.,Символ доступа действителен в течение одного часа с момента его выдачи.
s051,документация,Do not edit the file manually while the service is running.,Не редактируйте файл вручную во время работы службы.,Не редактировать файл вручную во время работы сервиса.
s052,документация,Each request must contain a unique identifier in the header.,Каждый запрос должен содержать уникальный идентификатор в заголовке.,Каждый запрос должен содержать уникальный идентификатор в заголовке.
s053,документация,The system checks the integrity of the archive before unpacking it.,Перед распаковкой система проверяет целостность архива.,"Система проверяет целостность архива, прежде чем распаковывать его."
s054,документация,Backups are created every night at 02:00 server time.,Резервные копии создаются каждую ночь в 02:00 по времени сервера.,Резервы создаются каждый вечер в 02:00 по времени сервера.
s055,документация,"If an error occurs, the operation is rolled back completely.",При возникновении ошибки операция полностью откатывается.,"Если происходит ошибка, операция полностью отменяется."
s056,документация,This section is intended for system administrators.,Этот раздел предназначен для системных администраторов.,Этот раздел предназначен для администраторов систем.
s057,документация,The maximum size of an uploaded file is 25 MB.,Максимальный размер загружаемого файла — 25 МБ.,Максимальный размер загруженного файла составляет 25 МБ.
s058,документация,Changes take effect only after the application is restarted.,Изменения вступают в силу только после перезапуска приложения.,Изменения вступают в силу только после возобновления подачи заявки.
