id,category,severity,comment,category_second
s002,разметка,критическая,"плейсхолдер {name} превращён в ""(имя}"" — строка не соберётся",разметка
s012,разметка,критическая,плейсхолдер {count} переведён как {подсчитать},разметка
s028,разметка,критическая,плейсхолдер {minutes} переведён как {минуты},разметка
s083,точность,критическая,второе предложение потеряно целиком,точность
s115,точность,критическая,"потеряна половина сегмента, plan передано как «план»",точность
s003,точность,серьёзная,account передано как «счёт» вместо «учётная запись»,терминология
s026,терминология,серьёзная,«Возвращение из резервного копирования» вместо «Восстановить из резервной копии»,терминология
s114,стиль,серьёзная,обращение на «ты» в маркетинге делового продукта,стиль
s006,терминология,незначительная,«любимые» вместо принятого в интерфейсах «избранное»,стиль
s065,нет,нет,корректная перефразировка при очень низком BLEU,нет
