id,semantic
s001,1.0
s002,0.800577
s003,0.634105
s004,0.449835
s005,1.0
s006,0.744511
s007,0.590507
s008,0.891756
s009,0.901154
s010,0.904636
s011,1.0
s012,0.670635
s013,1.0
s014,0.721484
s015,1.0
s016,0.965424
s017,0.995707
s018,0.874886
s019,0.535779
s020,0.499929
s021,1.0
s022,0.415793
s023,0.726794
s024,0.942741
s025,1.0
s026,0.883279
s027,0.97645
s028,0.866651
s029,1.0
s030,0.960728
s031,0.530391
s032,0.978691
s033,0.950489
s034,0.750905
s035,0.895488
s036,0.813108
s037,0.754093
s038,0.84723
s039,0.937392
s040,0.985502
s041,0.84227
s042,1.0
s043,0.810142
s044,0.996717
s045,0.976077
s046,0.920119
s047,0.980124
s048,0.978018
s049,0.970794
s050,0.853531
s051,0.985953
s052,1.0
s053,0.972689
s054,0.87544
s055,0.885328
s056,0.991123
s057,0.993073
s058,0.847419
s059,0.825673
s060,0.979988
s061,0.767202
s062,0.886362
s063,0.886634
s064,0.967048
s065,0.991608
s066,0.917592
s067,0.889769
s068,0.925052
s069,0.940755
s070,0.926056
s071,1.0
s072,0.888725
s073,0.935091
s074,0.971985
s075,0.973685
s076,0.774202
s077,0.6369
s078,0.852797
s079,0.987833
s080,0.623534
s081,0.918707
s082,0.98006
s083,0.865386
s084,0.979251
s085,0.92976
s086,0.76957
s087,0.892204
s088,0.808869
s089,1.0
s090,0.96928
s091,0.833944
s092,1.0
s093,0.949158
s094,0.875104
s095,0.891064
s096,0.885307
s097,0.703229
s098,0.724564
s099,0.849266
s100,0.929905
s101,0.94272
s102,0.993724
s103,0.773519
s104,0.819316
s105,0.930523
s106,0.996749
s107,0.822285
s108,0.864407
s109,0.755812
s110,0.974455
s111,0.965463
s112,0.796403
s113,1.0
s114,0.898673
s115,0.307005
s116,0.935773
s117,0.447136
s118,0.980121
s119,0.959929
s120,0.963073
s121,0.830897
s122,0.837003
s123,0.835119
s124,0.825313
s125,0.952152
s126,0.824476
s127,0.966969
s128,0.890028
s129,1.0
s130,0.978846
s131,0.889981
s132,0.962089
s133,0.693846
s134,0.958305
s135,0.889333
s136,0.978093
s137,1.0
s138,0.894339
s139,0.904628
s140,0.885492
s141,0.942589
s142,0.938871
s143,0.966709
s144,0.940689
s145,0.684724
s146,0.555385
s147,0.935817
s148,0.935374
s149,0.923454
s150,0.899837
s151,1.0
s152,0.987745
s153,0.994256
s154,0.943401
s155,0.949775
s156,0.959118
s157,0.890371
s158,0.739593
s159,0.990584
s160,0.954817
