id,type,en,ru_ref,ru_mt,bleu,chrf
s001,интерфейс,Save changes,Сохранить изменения,Сохранить изменения,1.0,1.0
s002,интерфейс,"Delete file ""{name}""?",Удалить файл «{name}»?,"Удалить файл ""(имя}""?",0.629961,0.730379
s003,интерфейс,Sign in with your work account,Войдите с рабочей учётной записью,Подпишитесь на вашем рабочем счете,0.229575,0.265508
s004,интерфейс,Your session has expired,Срок действия сеанса истёк,Ваш сеанс закончился.,0.248408,0.205719
s005,интерфейс,Loading…,Загрузка…,Загрузка...,1.0,1.0
s006,интерфейс,Add to favorites,Добавить в избранное,Добавить в любимые,0.629961,0.517481
s007,интерфейс,Search settings,Поиск по настройкам,Настройка поиска,0.247615,0.577955
s008,интерфейс,Choose a payment method,Выберите способ оплаты,Выбрать метод платежа,0.346681,0.189228
s009,интерфейс,Password must be at least 8 characters,Пароль должен содержать не менее 8 символов,Пароль должен иметь не менее 8 знаков,0.411134,0.614655
s010,интерфейс,Unable to connect to the server,Не удалось подключиться к серверу,Невозможно подключиться к серверу,0.520815,0.691457
s011,интерфейс,Copy link,Копировать ссылку,Копировать ссылку,1.0,1.0
s012,интерфейс,{count} items selected,Выбрано элементов: {count},Выбранные позиции {подсчитать},0.346681,0.206061
s013,интерфейс,Cancel,Отмена,Отмена,1.0,1.0
s014,интерфейс,Try again,Повторить,Попробуй еще раз.,0.346681,0.081833
s015,интерфейс,Enable two-factor authentication,Включить двухфакторную аутентификацию,Включить двухфакторную аутентификацию,1.0,1.0
s016,интерфейс,This action cannot be undone,Это действие нельзя отменить,Это действие не может быть отменено,0.290715,0.606298
s017,интерфейс,Upload a profile photo,Загрузите фото профиля,Загрузить фото профиля,0.629961,0.811344
s018,интерфейс,Show advanced options,Показать дополнительные параметры,Показать усовершенствованные параметры,0.5,0.559878
s019,интерфейс,Sync in progress,Идёт синхронизация,Ведется работа по обобщению,0.302138,0.09304
s020,интерфейс,Storage almost full,Хранилище почти заполнено,Хранение почти полностью,0.43679,0.444686
s021,интерфейс,Rename folder,Переименовать папку,Переименовать папку,1.0,1.0
s022,интерфейс,Sort by date modified,Сортировать по дате изменения,Сортировка в разбивке по датам,0.273012,0.407991
s023,интерфейс,Invite a teammate,Пригласить участника,Пригласите товарища по команде.,0.302138,0.381181
s024,интерфейс,Notifications are turned off,Уведомления отключены,Уведомления отменяются,0.57735,0.64355
s025,интерфейс,Export to CSV,Экспорт в CSV,Экспорт в CSV,1.0,1.0
s026,интерфейс,Restore from backup,Восстановить из резервной копии,Возвращение из резервного копирования,0.359304,0.456166
s027,интерфейс,Check your email to confirm,Проверьте почту для подтверждения,"Проверьте почту, чтобы подтвердить",0.472871,0.628711
s028,интерфейс,Session will end in {minutes} min,Сеанс завершится через {minutes} мин,Сессия закончится в {минуты} мин.,0.273012,0.201457
s029,интерфейс,Clear cache,Очистить кэш,Очистить кэш,1.0,1.0
s030,интерфейс,Switch to dark theme,Переключиться на тёмную тему,Перейти к темной теме,0.302138,0.193559
s031,интерфейс,No results found,Ничего не найдено,Результаты отсутствуют,0.247615,0.037037
s032,интерфейс,Drag files here to upload,Перетащите файлы сюда для загрузки,"Перетащите файлы здесь, чтобы загрузить",0.359304,0.603426
s033,интерфейс,Grant camera access,Разрешить доступ к камере,Доступ к фотоаппаратам,0.451386,0.34088
s034,интерфейс,Your changes were saved,Изменения сохранены,Твои изменения были сохранены.,0.397635,0.792588
s035,интерфейс,Remove from cart,Удалить из корзины,Удалить из тележки,0.629961,0.561305
s036,интерфейс,Continue without saving,Продолжить без сохранения,Продолжать без сбережений,0.43679,0.489861
s037,интерфейс,Set a recovery phone number,Укажите резервный номер телефона,Установите номер телефона для восстановления,0.359304,0.464268
s038,интерфейс,Connection restored,Соединение восстановлено,Восстановление связи,0.408248,0.562419
s039,интерфейс,Skip this step,Пропустить этот шаг,Пропустите этот шаг.,0.629961,0.774647
s040,интерфейс,Report a problem,Сообщить о проблеме,Сообщите о проблеме,0.629961,0.774647
s041,документация,This guide describes how to configure the service for the first time.,В этом руководстве описана первоначальная настройка службы.,"В этом руководстве описывается, как настроить службу в первый раз.",0.234624,0.571849
s042,документация,"Before you begin, make sure that you have administrator rights.","Прежде чем начать, убедитесь, что у вас есть права администратора.","Прежде чем начать, убедитесь, что у вас есть права администратора.",1.0,1.0
s043,документация,The parameter defines the maximum number of simultaneous connections.,Параметр задаёт максимальное число одновременных подключений.,Этот параметр определяет максимальное число одновременных соединений.,0.365555,0.702567
s044,документация,"If the value is not specified, the default value is used.","Если значение не указано, используется значение по умолчанию.","Если значение не указано, то используется значение по умолчанию.",0.658037,0.971385
s045,документация,Run the command from the directory that contains the configuration file.,"Выполните команду из каталога, содержащего файл конфигурации.","Запустить команду из каталога, в котором содержится файл конфигурации.",0.312394,0.677601
s046,документация,The service restarts automatically after the settings are applied.,После применения настроек служба перезапускается автоматически.,Служба возобновляется автоматически после приведения в действие настройки.,0.190708,0.56034
s047,документация,Log files are stored for 30 days and then deleted automatically.,"Файлы журналов хранятся 30 дней, после чего удаляются автоматически.","Файлы журнала хранятся в течение 30 дней, а затем удаляются автоматически.",0.205046,0.710686
s048,документация,Use this method only when the standard procedure has failed.,"Используйте этот способ только в том случае, если стандартная процедура не сработала.","Используйте этот метод только в том случае, если стандартная процедура не сработала.",0.791067,0.898151
s049,документация,The table below lists all supported input formats.,В таблице ниже перечислены все поддерживаемые форматы входных данных.,В таблице ниже перечислены все поддерживаемые форматы ввода данных.,0.782542,0.882235
s050,документация,An access token is valid for one hour from the moment it is issued.,Токен доступа действителен в течение часа с момента выдачи.,Символ доступа действителен в течение одного часа с момента его выдачи.,0.436684,0.82124
s051,документация,Do not edit the file manually while the service is running.,Не редактируйте файл вручную во время работы службы.,Не редактировать файл вручную во время работы сервиса.,0.610474,0.761612
s052,документация,Each request must contain a unique identifier in the header.,Каждый запрос должен содержать уникальный идентификатор в заголовке.,Каждый запрос должен содержать уникальный идентификатор в заголовке.,1.0,1.0
s053,документация,The system checks the integrity of the archive before unpacking it.,Перед распаковкой система проверяет целостность архива.,"Система проверяет целостность архива, прежде чем распаковывать его.",0.446324,0.767386
s054,документация,Backups are created every night at 02:00 server time.,Резервные копии создаются каждую ночь в 02:00 по времени сервера.,Резервы создаются каждый вечер в 02:00 по времени сервера.,0.533896,0.682646
s055,документация,"If an error occurs, the operation is rolled back completely.",При возникновении ошибки операция полностью откатывается.,"Если происходит ошибка, операция полностью отменяется.",0.290715,0.514081
s056,документация,This section is intended for system administrators.,Этот раздел предназначен для системных администраторов.,Этот раздел предназначен для администраторов систем.,0.643459,0.868744
s057,документация,The maximum size of an uploaded file is 25 MB.,Максимальный размер загружаемого файла — 25 МБ.,Максимальный размер загруженного файла составляет 25 МБ.,0.321729,0.789696
s058,документация,Changes take effect only after the application is restarted.,Изменения вступают в силу только после перезапуска приложения.,Изменения вступают в силу только после возобновления подачи заявки.,0.638943,0.670114
s059,документация,You can find the full list of parameters in the appendix.,Полный список параметров приведён в приложении.,Полный список параметров можно найти в добавлении.,0.365555,0.596502
s060,документация,The connection is encrypted with the TLS 1.3 protocol.,Соединение шифруется по протоколу TLS 1.3.,Соединение зашифровано в протоколе TLS 1.3.,0.365555,0.582656
s061,документация,Verify that the port is not blocked by the firewall.,"Убедитесь, что порт не заблокирован межсетевым экраном.","Проверка того, что порт не заблокирован файерволом.",0.516973,0.507397
s062,документация,The report is generated in the background and may take several minutes.,Отчёт формируется в фоновом режиме и может занять несколько минут.,Отчет составляется на справочной основе и может занять несколько минут.,0.461737,0.56385
s063,документация,Each user account is linked to exactly one organization.,Каждая учётная запись пользователя связана ровно с одной организацией.,Каждый пользовательский счет связан с одной организацией.,0.259801,0.547376
s064,документация,Deleted records remain available in the archive for 90 days.,Удалённые записи остаются доступными в архиве в течение 90 дней.,Исключенные записи остаются в архиве в течение 90 дней.,0.632747,0.736911
s065,документация,The following example shows a minimal working configuration.,В следующем примере показана минимальная рабочая конфигурация.,Приведенный ниже пример показывает минимальную рабочую конфигурацию.,0.156197,0.511414
s066,документация,Read permissions are granted at the level of an individual folder.,Права на чтение выдаются на уровне отдельной папки.,Разрешения на чтение выдаются на уровне отдельной папки.,0.86334,0.886004
s067,документация,The migration script must be run only once.,Скрипт миграции следует запускать только один раз.,Миграционный сценарий должен быть запущен только один раз.,0.298475,0.47934
s068,документация,Incoming messages are placed in a queue and processed in order.,Входящие сообщения помещаются в очередь и обрабатываются по порядку.,Входящие сообщения помещаются в очередь и обрабатываются в порядке.,0.759836,0.916809
s069,документация,Statistics are updated once an hour.,Статистика обновляется раз в час.,Статистические данные обновляются один раз в час.,0.345721,0.617323
s070,документация,"To roll back the update, use the previous version of the package.",Для отката обновления используйте предыдущую версию пакета.,"Для того чтобы вернуть обновление, используйте предыдущий вариант пакета.",0.167845,0.598011
