type,text
интерфейс,Сохранить изменения
интерфейс,Удалить файл «{name}»?
интерфейс,Войдите с рабочей учётной записью
интерфейс,Срок действия сеанса истёк
интерфейс,Загрузка…
интерфейс,Добавить в избранное
интерфейс,Поиск по настройкам
интерфейс,Выберите способ оплаты
интерфейс,Пароль должен содержать не менее 8 символов
интерфейс,Не удалось подключиться к серверу
интерфейс,Копировать ссылку
интерфейс,Выбрано элементов: {count}
интерфейс,Отмена
интерфейс,Повторить
интерфейс,Включить двухфакторную аутентификацию
интерфейс,Это действие нельзя отменить
интерфейс,Загрузите фото профиля
интерфейс,Показать дополнительные параметры
интерфейс,Идёт синхронизация
интерфейс,Хранилище почти заполнено
интерфейс,Переименовать папку
интерфейс,Сортировать по дате изменения
интерфейс,Пригласить участника
интерфейс,Уведомления отключены
интерфейс,Экспорт в CSV
интерфейс,Восстановить из резервной копии
интерфейс,Проверьте почту для подтверждения
интерфейс,Сеанс завершится через {minutes} мин
интерфейс,Очистить кэш
интерфейс,Переключиться на тёмную тему
интерфейс,Ничего не найдено
интерфейс,Перетащите файлы сюда для загрузки
интерфейс,Разрешить доступ к камере
интерфейс,Изменения сохранены
интерфейс,Удалить из корзины
интерфейс,Продолжить без сохранения
интерфейс,Укажите резервный номер телефона
интерфейс,Соединение восстановлено
интерфейс,Пропустить этот шаг
интерфейс,Сообщить о проблеме
документация,В этом руководстве описана первоначальная настройка службы.
документация,"Прежде чем начать, убедитесь, что у вас есть права администратора."
документация,Параметр задаёт максимальное число одновременных подключений.
документация,"Если значение не указано, используется значение по умолчанию."
документация,"Выполните команду из каталога, содержащего файл конфигурации."
документация,После применения настроек служба перезапускается автоматически.
документация,"Файлы журналов хранятся 30 дней, после чего удаляются автоматически."
документация,"Используйте этот способ только в том случае, если стандартная процедура не сработала."
документация,В таблице ниже перечислены все поддерживаемые форматы входных данных.
документация,Токен доступа действителен в течение часа с момента выдачи.
документация,Не редактируйте файл вручную во время работы службы.
документация,Каждый запрос должен содержать уникальный идентификатор в заголовке.
документация,Перед распаковкой система проверяет целостность архива.
документация,Резервные копии создаются каждую ночь в 02:00 по времени сервера.
документация,При возникновении ошибки операция полностью откатывается.
документация,Этот раздел предназначен для системных администраторов.
документация,Максимальный размер загружаемого файла — 25 МБ.
документация,Изменения вступают в силу только после перезапуска приложения.
документация,Полный список параметров приведён в приложении.
документация,Соединение шифруется по протоколу TLS 1.3.
документация,"Убедитесь, что порт не заблокирован межсетевым экраном."
документация,Отчёт формируется в фоновом режиме и может занять несколько минут.
документация,Каждая учётная запись пользователя связана ровно с одной организацией.
документация,Удалённые записи остаются доступными в архиве в течение 90 дней.
документация,В следующем примере показана минимальная рабочая конфигурация.
документация,Права на чтение выдаются на уровне отдельной папки.
документация,Скрипт миграции следует запускать только один раз.
документация,Входящие сообщения помещаются в очередь и обрабатываются по порядку.
документация,Статистика обновляется раз в час.
документация,Для отката обновления используйте предыдущую версию пакета.
документация,Язык интерфейса выбирается в настройках профиля пользователя.
документация,Пустые значения в обязательных полях приводят к ошибке проверки.
документация,При превышении лимита запросов сервер отвечает кодом 429.
документация,Временные файлы удаляются при завершении сеанса.
документация,Совместимость с предыдущими версиями сохраняется.
документация,Сертификат необходимо продлить до даты окончания срока действия.
документация,Доступ к API предоставляется только по протоколу HTTPS.
документация,При импорте повторяющиеся записи игнорируются.
документация,Часовой пояс по умолчанию — UTC.
документация,Подробное журналирование заметно снижает производительность.
маркетинг,Работайте быстрее и спокойнее.
маркетинг,"Всё, что нужно вашей команде, — в одном месте."
маркетинг,Попробуйте бесплатно 30 дней. Карта не нужна.
маркетинг,Присоединяйтесь к двум миллионам профессионалов.
маркетинг,Ваши данные остаются вашими. Всегда.
маркетинг,"Настройка занимает минуты, а не недели."
маркетинг,"Создано для команд, которые работают быстро."
маркетинг,Забудьте о бесконечных таблицах.
маркетинг,Результаты говорят сами за себя.
маркетинг,Начните сегодня — отменить можно в любой момент.
маркетинг,"Его выбирают и дизайнеры, и инженеры."
маркетинг,Одна подписка на всю компанию.
маркетинг,Меньше рутины — больше по-настоящему важной работы.
маркетинг,"Узнайте, что на самом деле думают ваши клиенты."
маркетинг,Растёт вместе с вашим бизнесом.
маркетинг,Экономьте до 40% на годовом тарифе.
маркетинг,Никаких скрытых платежей. Никогда.
маркетинг,Соберите весь рабочий процесс воедино.
маркетинг,Нам доверяют компании из 60 стран.
маркетинг,Более разумный способ спланировать неделю.
маркетинг,Ведь важна каждая минута.
маркетинг,Начните за три простых шага.
маркетинг,"Сложное внутри, простое снаружи."
маркетинг,Новый стандарт командного общения.
маркетинг,Первый проект — за наш счёт.
маркетинг,Хватит переключаться между пятью разными приложениями.
маркетинг,Живая поддержка от живых людей.
маркетинг,"Мы готовы, когда готовы вы."
маркетинг,Превращайте отзывы в решения.
маркетинг,"Безопасность, о которой не нужно думать."
маркетинг,Основано на двадцати годах исследований.
маркетинг,Кратчайший путь от идеи до запуска.
маркетинг,Бесплатно для студентов и некоммерческих организаций.
маркетинг,Работает офлайн и синхронизируется при возвращении в сеть.
маркетинг,Небольшая команда? Для неё есть отдельный тариф.
маркетинг,"Цифры, которым наконец можно доверять."
маркетинг,"Переходите на старший тариф, когда потребуется."
маркетинг,"Сделано под то, как вы работаете на самом деле."
маркетинг,Тысячи готовых шаблонов.
маркетинг,"Останьтесь ради качества, придя за скоростью."
юридический,Настоящие Условия регулируют использование Сервиса.
юридический,"Создавая учётную запись, вы принимаете изложенные ниже условия."
юридический,Компания оставляет за собой право в любое время вносить изменения в настоящие Условия.
юридический,Пользователь обязуется не передавать учётные данные третьим лицам.
юридический,Обработка персональных данных осуществляется в соответствии с применимым законодательством.
юридический,Сервис предоставляется на условиях «как есть».
юридический,Ответственность сторон ограничена фактически уплаченной суммой.
юридический,Настоящий Договор вступает в силу с момента подписания обеими сторонами.
юридический,Любой спор подлежит разрешению в судах Российской Федерации.
юридический,Уведомления считаются доставленными в день их отправки по электронной почте.
юридический,Пользователь вправе потребовать удаления своих персональных данных.
юридический,Исключительные права на программное обеспечение сохраняются за Лицензиаром.
юридический,Обстоятельства непреодолимой силы освобождают стороны от ответственности.
юридический,Расторжение Договора не освобождает стороны от уже возникших обязательств.
юридический,Конфиденциальная информация не подлежит раскрытию в течение пяти лет после прекращения действия Договора.
юридический,Лицензия предоставляется на неисключительной основе.
юридический,Стороны договорились о нижеследующем.
юридический,Оплата производится в течение десяти банковских дней с даты выставления счёта.
юридический,"Договор составлен в двух экземплярах, имеющих равную юридическую силу."
юридический,Заголовки приведены исключительно для удобства и не влияют на толкование.
юридический,Исполнитель несёт ответственность за качество выполненных работ.
юридический,"Если какое-либо положение будет признано недействительным, остальные положения сохраняют силу."
юридический,Заказчик обязуется принять работы в течение пяти рабочих дней.
юридический,Уступка прав по настоящему Договору требует письменного согласия.
юридический,Поставщик гарантирует отсутствие недостатков товара.
юридический,За каждый день просрочки начисляется неустойка.
юридический,Договор регулируется правом места регистрации Компании.
юридический,"Пользователь подтверждает, что достиг восемнадцатилетнего возраста."
юридический,Использование Сервиса в противоправных целях запрещается.
юридический,Перечень категорий обрабатываемых данных приведён в Приложении.
юридический,Согласие может быть отозвано в любое время.
юридический,Компания не передаёт данные в третьи страны.
юридический,Срок хранения данных составляет три года.
юридический,Стороны разрешают споры путём переговоров.
юридический,Несоблюдение влечёт прекращение доступа.
юридический,Лицензиат не вправе декомпилировать программное обеспечение.
юридический,Приложение является неотъемлемой частью Договора.
юридический,Изменения действительны только при их оформлении в письменном виде.
юридический,Компания обрабатывает данные на законном основании.
юридический,"Расходы, понесённые каждой стороной, несёт эта сторона."
