id,type,en,ru_ref
s001,интерфейс,Save changes,Сохранить изменения
s002,интерфейс,"Delete file ""{name}""?",Удалить файл «{name}»?
s003,интерфейс,Sign in with your work account,Войдите с рабочей учётной записью
s004,интерфейс,Your session has expired,Срок действия сеанса истёк
s005,интерфейс,Loading…,Загрузка…
s006,интерфейс,Add to favorites,Добавить в избранное
s007,интерфейс,Search settings,Поиск по настройкам
s008,интерфейс,Choose a payment method,Выберите способ оплаты
s009,интерфейс,Password must be at least 8 characters,Пароль должен содержать не менее 8 символов
s010,интерфейс,Unable to connect to the server,Не удалось подключиться к серверу
s011,интерфейс,Copy link,Копировать ссылку
s012,интерфейс,{count} items selected,Выбрано элементов: {count}
s013,интерфейс,Cancel,Отмена
s014,интерфейс,Try again,Повторить
s015,интерфейс,Enable two-factor authentication,Включить двухфакторную аутентификацию
s016,интерфейс,This action cannot be undone,Это действие нельзя отменить
s017,интерфейс,Upload a profile photo,Загрузите фото профиля
s018,интерфейс,Show advanced options,Показать дополнительные параметры
s019,интерфейс,Sync in progress,Идёт синхронизация
s020,интерфейс,Storage almost full,Хранилище почти заполнено
s021,интерфейс,Rename folder,Переименовать папку
s022,интерфейс,Sort by date modified,Сортировать по дате изменения
s023,интерфейс,Invite a teammate,Пригласить участника
s024,интерфейс,Notifications are turned off,Уведомления отключены
s025,интерфейс,Export to CSV,Экспорт в CSV
s026,интерфейс,Restore from backup,Восстановить из резервной копии
s027,интерфейс,Check your email to confirm,Проверьте почту для подтверждения
s028,интерфейс,Session will end in {minutes} min,Сеанс завершится через {minutes} мин
s029,интерфейс,Clear cache,Очистить кэш
s030,интерфейс,Switch to dark theme,Переключиться на тёмную тему
s031,интерфейс,No results found,Ничего не найдено
s032,интерфейс,Drag files here to upload,Перетащите файлы сюда для загрузки
s033,интерфейс,Grant camera access,Разрешить доступ к камере
s034,интерфейс,Your changes were saved,Изменения сохранены
s035,интерфейс,Remove from cart,Удалить из корзины
s036,интерфейс,Continue without saving,Продолжить без сохранения
s037,интерфейс,Set a recovery phone number,Укажите резервный номер телефона
s038,интерфейс,Connection restored,Соединение восстановлено
s039,интерфейс,Skip this step,Пропустить этот шаг
s040,интерфейс,Report a problem,Сообщить о проблеме
s041,документация,This guide describes how to configure the service for the first time.,В этом руководстве описана первоначальная настройка службы.
s042,документация,"Before you begin, make sure that you have administrator rights.","Прежде чем начать, убедитесь, что у вас есть права администратора."
s043,документация,The parameter defines the maximum number of simultaneous connections.,Параметр задаёт максимальное число одновременных подключений.
s044,документация,"If the value is not specified, the default value is used.","Если значение не указано, используется значение по умолчанию."
s045,документация,Run the command from the directory that contains the configuration file.,"Выполните команду из каталога, содержащего файл конфигурации."
s046,документация,The service restarts automatically after the settings are applied.,После применения настроек служба перезапускается автоматически.
s047,документация,Log files are stored for 30 days and then deleted automatically.,"Файлы журналов хранятся 30 дней, после чего удаляются автоматически."
s048,документация,Use this method only when the standard procedure has failed.,"Используйте этот способ только в том случае, если стандартная процедура не сработала."
s049,документация,The table below lists all supported input formats.,В таблице ниже перечислены все поддерживаемые форматы входных данных.
s050,документация,An access token is valid for one hour from the moment it is issued.,Токен доступа действителен в течение часа с момента выдачи.
s051,документация,Do not edit the file manually while the service is running.,Не редактируйте файл вручную во время работы службы.
s052,документация,Each request must contain a unique identifier in the header.,Каждый запрос должен содержать уникальный идентификатор в заголовке.
s053,документация,The system checks the integrity of the archive before unpacking it.,Перед распаковкой система проверяет целостность архива.
s054,документация,Backups are created every night at 02:00 server time.,Резервные копии создаются каждую ночь в 02:00 по времени сервера.
s055,документация,"If an error occurs, the operation is rolled back completely.",При возникновении ошибки операция полностью откатывается.
s056,документация,This section is intended for system administrators.,Этот раздел предназначен для системных администраторов.
s057,документация,The maximum size of an uploaded file is 25 MB.,Максимальный размер загружаемого файла — 25 МБ.
